study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,testr.started,text_2.started,textbox.started,text_3.started,mouse.started,testr.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
cushion,,,,0,0,0,1,,,,,0.0281691,,0.0074757,0.0281691,0.0281691,2.0078615,2.292592593,1.979048,,,,,,,,,,,,,,,,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
book,,,,0,1,1,0,,,,,2.0227225,,2.0081181,2.0227225,2.0227225,3.0747066,2.837037037,1.0459656,,,,,,,,,,,,,,,,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
cruise,,,,0,2,2,11,,,,,3.0890847,,3.0749145,3.0890847,3.0890847,4.4910959,2.359259259,1.3960656,,,,,,,,,,,,,,,,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
keys,,,,0,3,3,13,,,,,4.505722,,4.4913193,4.505722,4.505722,5.3744851,3.174074074,0.8640237,,,,,,,,,,,,,,,,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
T-shirt,,,,0,4,4,7,,,,,5.3891106,,5.3746673,5.3891106,5.3891106,5.8577564,3.6,0.4616379,,,,,,,,,,,,,,,,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
marble,,,,0,5,5,3,,,,,5.8725817,,5.8579704,5.8725817,5.8725817,6.3576959,3.959259259,0.480182,,,,,,,,,,,,,,,,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
police,,,,0,6,6,12,,,,,6.3722636,,6.3579202,6.3722636,6.3722636,6.858228,4.244444444,0.4804968,,,,,,,,,,,,,,,,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
pastry,,,,0,7,7,9,,,,,6.8714975,,6.8585255,6.8714975,6.8714975,7.3411232,3.518518519,0.4634934,,,,,,,,,,,,,,,,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
mouse,,,,0,8,8,8,,,,,7.3557405,,7.341344,7.3557405,7.3557405,7.9080114,2.959259259,0.5489283,,,,,,,,,,,,,,,,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
board,,,,0,9,9,4,,,,,7.9226701,,7.9082026,7.9226701,7.9226701,8.5911305,2.455555556,0.6637514,,,,,,,,,,,,,,,,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
chart,,,,0,10,10,6,,,,,8.6058501,,8.5913069,8.6058501,8.6058501,9.0411642,2.018518519,0.4327009,,,,,,,,,,,,,,,,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
phone,,,,0,11,11,2,,,,,9.0559059,,9.0413425,9.0559059,9.0559059,9.6079643,1.466666667,0.5485429,,,,,,,,,,,,,,,,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
poster,,,,0,12,12,14,,,,,9.6222086,,9.608185,9.6222086,9.6222086,10.1248301,2.111111111,0.4966819,,,,,,,,,,,,,,,,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
case,,,,0,13,13,10,,,,,10.1390564,,10.1250151,10.1390564,10.1390564,10.6251013,2.67037037,0.4826172,,,,,,,,,,,,,,,,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
laptop,,,,0,14,14,5,,,,,10.6392388,,10.6252781,10.6392388,10.6392388,11.2080744,3.388888889,0.5636811,,,,,,,,,,,,,,,,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
,bo_t_e,bottle,new,,,,,0,0,0,18,11.2640316,,,,,,,,11.2128677,11.2640316,11.2640316,11.2640316,0.0151517,11.423739,,[0.1],[-0.29907407407407405],[1],[0],[0],[0.1998064999934286],['text_3'],,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
,cr_i_e,cruise,old,,,,,0,1,1,11,11.4395242,,,,,,,,11.4244416,11.4395242,11.4395242,11.4395242,0.001745,18.7405014,"craied 
",[0.0962962962962963],[-0.3055555555555556],[1],[0],[0],[7.313828499987721],['text_3'],,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
,c_sh_o_,cushion,old,,,,,0,2,2,1,18.7563196,,,,,,,,18.7409998,18.7563196,18.7563196,18.7563196,0.0019778,24.7261911,cushion,[0.03333333333333333],[-0.31666666666666665],[1],[0],[0],[5.982750599971041],['text_3'],,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
,t-_hir_,t-shirt,old,,,,,0,3,3,7,24.7398345,,,,,,,,24.7267108,24.7398345,24.7398345,24.7398345,0.0018435,29.8090838,t-shirt,[-0.009259259259259259],[-0.3148148148148148],[1],[0],[0],[5.080100200022571],['text_3'],,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
,_oo_,book,old,,,,,0,4,4,0,29.8233009,,,,,,,,29.8095403,29.8233009,29.8233009,29.8233009,0.0018,33.0577347,book,[-0.027777777777777776],[-0.3194444444444444],[1],[0],[0],[3.2458380999742076],['text_3'],,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
,_a_t_p,laptop,old,,,,,0,5,5,5,33.07312,,,,,,,,33.058312,33.07312,33.07312,33.07312,0.0021613,43.0584647,cartep,[],[],[],[],[],[],[],43.0735234,43.0735234,43.0735234,9.9992093,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
,_o_ic_,police,old,,,,,0,6,6,12,43.0735234,,,,,,,,43.0592818,43.0735234,43.0735234,43.0735234,0.0045598,52.942651,bociac,[-0.017592592592592594],[-0.2962962962962963],[1],[0],[0],[9.87925019999966],['text_3'],,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
,m_u_e,mouse,old,,,,,0,7,7,8,52.9575103,,,,,,,,52.9430269,52.9575103,52.9575103,52.9575103,0.0016601,56.7250877,mouse,[-0.03611111111111111],[-0.30092592592592593],[1],[0],[0],[3.7798080999637023],['text_3'],,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
,p_on_,phone,old,,,,,0,8,8,2,56.7408478,,,,,,,,56.7256641,56.7408478,56.7408478,56.7408478,0.0025754,60.8086016,phone,[-0.046296296296296294],[-0.31296296296296294],[1],[0],[0],[4.079816100071184],['text_3'],,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
,c_s_,case,old,,,,,0,9,9,10,60.8241887,,,,,,,,60.8090595,60.8241887,60.8241887,60.8241887,0.0016791,64.0614896,case,[-0.044444444444444446],[-0.30185185185185187],[1],[0],[0],[3.2502239999594167],['text_3'],,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
,_ar__e,marble,old,,,,,0,10,10,3,64.0743775,,,,,,,,64.0619603,64.0743775,64.0743775,64.0743775,0.0018444,73.659496,fareee,"[-0.044444444444444446, -0.04722222222222222]","[-0.3287037037037037, -0.3148148148148148]","[1, 1]","[0, 0]","[0, 0]","[8.444432400050573, 9.595044699963182]",['text_3'],,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
,_as_r_,pastry,old,,,,,0,11,11,9,73.6747882,,,,,,,,73.6601008,73.6747882,73.6747882,73.6747882,0.0023692,82.6612882,fasers,[-0.03981481481481482],[-0.30462962962962964],[1],[0],[0],[8.998258900013752],['text_3'],,,,,553997,1,2024-11-07_20h35.51.401,word priming,2024.1.5,None,2024-11-07 20h35.57.937713 +0530
